Data,Sentiment
লিখার সময় পারলে সত্য লিখার অভ্যাস শিখুন । ,2
এটা কেন হচ্ছে ? সংশ্লিষ্ট সকলের ডিপ্রেশনের ফলে ? নাকি সরকার মনোনিত পরিচালনা পর্ষদের ব্যর্থতার কারণে ? ,2
আমাদের দেশের স্বাভাবিক অর্থনৈতিক গতিপ্রবাহকে বাধাগ্রস্ত করা হয়েছে । তাই এসব ঘটছে । ,2
চুরি নয় লুটপাট । ,2
ইসলামী ব্যাংকের বর্তমান অবস্থা দেখে মনে হয় শাসক হিসাবে জামাতের সাথেই আওয়ামী লীগ পারে না ! ,0
একটা ভাল প্রতিষ্ঠান কিভাবে লুট হয়ে যাচেছ ! ,2
সরকার যাদের এই ব্যাংকে নিয়গ দিয়েছে তারা ব্যাংকিং এর ' ব ' ও জানে না . এইটা ধবংস হবার পর এদের কলিজা ঠান্ডা হবে । ,2
পুরোপুরি আওয়ামীকরন হলেই আর এর অসতিতই থাকবেক না ! ,2
এককথায় ব্যাংকটিতে ডাকাতি হয়েছে এবং হতেই থাকবে । ,2
ইসলামি ব্যাংক প্রারম্ভ থেকেই গ্রাহকদের পছন্দের ব্যাংক ছিল । যার সাফল্য ইর্ষনীয় । এটা কার দ্বারা পরিচালিত সেটা মুখ্য বিষয় নয় ? কিন্তু বর্তমান যে হাল দাঁড়াচ্ছে তাতে সাধারন গ্রাহকের আস্থা হারাবে ! ,2
এরা যেখানেই যাবে সেখানেই চুরি হবে । ,2
এটা ভুলে গেলে চলবে না যে ব্যাংকটিতে নুতন পরিচালনা পর্ষদ এসেছে তাদের ব্যাংকটির সব কিছু বুঝে উঠতে একটু সময় লাগবে এটাই স্বাভাবিক । ,1
শেয়ার প্রতি আয় কমেছে । শূন্য হয় নি এখনও । সরকারী অর্থ মন্ত্রণায়ের নির্ধারিত মনোনীত পর্ষদ যেদিন দায়িত্বভার নিয়েছে তখনই তা নির্ধারণ হয়ে গেছে । এর পর ব্যাংকের মূলধন কমতে থাকবে ইনশাল্লাহ । ,2
পুরোপুরি জামাতমুক্ত করা গেলেই লাভের মুখ দেখবে ইসলামি ব্যাংক ,1
বিগত কয়েক বছরের অভিজ্ঞতা বলে ব্যাংকসহ শ্যেনদৃষ্টি যেখানে সর্বনাশ সেখানে । ,2
"দ্রুত জামাত প্রভাব মুক্ত করা হউক , গ্রাহকরা উপকৃত হবে । ",0
এই ব্যাংকটা বন্ধ হয়ে যাওয়াটাই দেশের জন্যে মঙ্গলজনক । ,0
"ইদানিং যে গ্রুপ ইসলামি ব্যাংকের শেয়ার কিনছে , তাদের কাছে কি অালাদিনের চেরাগ অাছে ? এত ব্যাংক তারা কিনছে কিভাবে ? ",2
