Data,Sentiment
লিখার সময় পারলে সত্য লিখার অভ্যাস শিখুন । ,0
এটা কেন হচ্ছে ? সংশ্লিষ্ট সকলের ডিপ্রেশনের ফলে ? নাকি সরকার মনোনিত পরিচালনা পর্ষদের ব্যর্থতার কারণে ? ,0
আমাদের দেশের স্বাভাবিক অর্থনৈতিক গতিপ্রবাহকে বাধাগ্রস্ত করা হয়েছে । তাই এসব ঘটছে । ,0
চুরি নয় লুটপাট । ,0
একটা ভাল প্রতিষ্ঠান কিভাবে লুট হয়ে যাচেছ ! ,0
সরকার যাদের এই ব্যাংকে নিয়গ দিয়েছে তারা ব্যাংকিং এর ' ব ' ও জানে না . এইটা ধবংস হবার পর এদের কলিজা ঠান্ডা হবে । ,0
পুরোপুরি আওয়ামীকরন হলেই আর এর অসতিতই থাকবেক না ! ,0
এককথায় ব্যাংকটিতে ডাকাতি হয়েছে এবং হতেই থাকবে । ,0
ইসলামি ব্যাংক প্রারম্ভ থেকেই গ্রাহকদের পছন্দের ব্যাংক ছিল । যার সাফল্য ইর্ষনীয় । এটা কার দ্বারা পরিচালিত সেটা মুখ্য বিষয় নয় ? কিন্তু বর্তমান যে হাল দাঁড়াচ্ছে তাতে সাধারন গ্রাহকের আস্থা হারাবে ! ,0
এরা যেখানেই যাবে সেখানেই চুরি হবে । ,0
এটা ভুলে গেলে চলবে না যে ব্যাংকটিতে নুতন পরিচালনা পর্ষদ এসেছে তাদের ব্যাংকটির সব কিছু বুঝে উঠতে একটু সময় লাগবে এটাই স্বাভাবিক । ,1
শেয়ার প্রতি আয় কমেছে । শূন্য হয় নি এখনও । সরকারী অর্থ মন্ত্রণায়ের নির্ধারিত মনোনীত পর্ষদ যেদিন দায়িত্বভার নিয়েছে তখনই তা নির্ধারণ হয়ে গেছে । এর পর ব্যাংকের মূলধন কমতে থাকবে ইনশাল্লাহ । ,0
পুরোপুরি জামাতমুক্ত করা গেলেই লাভের মুখ দেখবে ইসলামি ব্যাংক ,1
বিগত কয়েক বছরের অভিজ্ঞতা বলে ব্যাংকসহ শ্যেনদৃষ্টি যেখানে সর্বনাশ সেখানে । ,0
"ইদানিং যে গ্রুপ ইসলামি ব্যাংকের শেয়ার কিনছে , তাদের কাছে কি অালাদিনের চেরাগ অাছে ? এত ব্যাংক তারা কিনছে কিভাবে ? ",0
"প্রবাসী বাংলাদেশিরা চলতি অর্থবছরের ২০১৮ - ১৯ প্রথম ৮ মাসে ১০ ৪১০ দশমিক ২৯ মিলিয়ন মার্কিন ডলার রেমিট্যান্স পাঠিয়েছেন । এটি বিগত অর্থবছরের একই সময়ের তুলনায় ৯৪৯ দশমিক শূন্য ৬ মার্কিন ডলার বেশি । অর্থাৎ , এ সময়ে রেমিট্যান্স ১০ দশমিক শূন্য ৩ শতাংশ বৃদ্ধি পেয়েছে । বাংলাদেশ ব্যাংকের এক উপাত্তে এসব তথ্য দেওয়া হয়েছে । এখানে বিলিয়ন কথাটা বাদ গেছে দয়া করে আপনার রিপোর্টটি সংশোধন করুন . ",0
গরীবদের বেশী টানটান হতে নাই । ,0
"পাকিস্তান ভিক্ষা করে পেয়েছে । ভারত পেয়েছে তার অর্থনৈতিক শক্তির জন্য । আমরা কি ভিক্ষা করবো , নাকি নিজেদেরকে অর্থনৈতিক শক্তিতে রূপান্তরিত করে তারপর সৌদিদের কাছে বিনিয়োগের প্রস্তাব দেবো ? ",1
"সৌদি ১০০ বিলিয়ন মার্কিন ডলার বিনিয়োগের প্রায় পুরোটাই জ্বালানি খাতে , মুকেশ আম্বানির কপালে ভাঁজ ! ",0
"দাদা মনেহয় ১৯ তাং এটা লিখেছিলেন নাম প্রকাশে অনিচ্ছুকএকদম ঠিক আছে । এমবিএস এর টাকায় রক্তের দাগ , আর টাকা ব্যবহারও করা হবে রক্তপাতের কাজে , আমরা আমরাই তো ",0
রতনে রতন চেনে ,0
"পাকিস্তানের না হয় খাবার টাকা নেই , ভারতের কি কারণে সৌদি ভিক্ষার দরকার পড়ল ? ",0
আমরা নিজের পায়ে দাডাবো । হাত পাতব কেন ? ,1
"আপনি মনে হয় ইচ্ছামূর্খ নাইলে ২০৫০ সালে ভারতের অর্থনীতি আমেরিকাকে ছাড়িয়ে যাবার কমেণ্ট করার পরও দক্ষিণ কোরিয়া , সিঙ্গাপুর , মালয়েশিয়া সাথে তুলনা করেন কিভাবে ? একই সময় পাকিস্তান স্বাধীনতা পেয়েও কেন ভারত দুরে থাক আজ বাংলাদেশের চেয়েও বহু পিছে পড়ে আছে ",0
এই খবর এ আমাগো কি ? ,0
তাহলে নাচানাচি শুরু করে দিন ! ,0
জনসংখ্যা আর আয়তনের হিসাবে পাকিস্তানই বেশী পেয়েছে । ,0
এটি আমাদের ব্যর্থতা । ,0
"কেউ পায় ২ হাজার কোটি ডলার , কেউ পায় ১০ হাজার কোটি ডলার আমার কতটা ব্যর্থ কিছুই পেলাম না । ",0
গরীব দেশ ভারতের উচিত লম্প - জম্প বাদ দিয়ে সেনিটেশন ব্যবস্থার উন্নয়ন করা । ,0
যান ভারতে চলে যান ,0
ভারতের ক্ষুধা ৫ গুন বেশী । ,0
"সৌদি অ্যারামকোর প্রধান নির্বাহী কর্মকর্তা আমিন নাসের ভারতের সম্ভাবনার প্রসঙ্গে বলেন , ২০৫০ সালের মধ্যে ভারত বিশ্বের দ্বিতীয় বৃহত্তম অর্থনীতি হতে যাচ্ছে । তখন তারা মার্কিন যুক্তরাষ্ট্রকেও ছাড়িয়ে যাবে । ২০৫০ সালের মধ্যে বিশ্বের মোট দেশজ উৎপাদনের ১৫ শতাংশই ভারতে উৎপাদিত হবে । আচ্ছা তখন পাকিস্তানের অবস্থা কি হবে কেউ কি বলতে পারবেন ? নাকি নিউক্লয়ার বোমার অধিকারী ' বলে বলে তখনো তৃপ্তির ঢেঁকুর তুলে তুলে ভারতের পায়ে কামড়ানোর নতুন কোন ছক খুঁজতে থাকবে ",0
এজন্যই পাকিস্তানের ৫ গুন ভিক্ষা দরকার ,0
"ভাই সালটা হবে ২০৫০ । এর মধ্যে অনেকগুলি ফ্যাকটার রয়েছে । ১ । ২০৫০ সালে ইন্ডিয়াতে বিপুল পরিমানে মেজরিটি জনসংখ্যা ইয়াং জেনারেশান থাকবে উল্টোদিকে আমেরিকার মেজরিটি জনসংখ্যা হবে বৃদ্ধ । ২ । ২০৫০ সালে টেকনলোজি , ইন্টার্নেট ইউসার সমস্ত দিক থেকে দুনিয়ার সমস্ত দেশের থেকে যোজন যোজন এগিয়ে থাকবে ইন্ডিয়া । ৩ । সর্বাধিক শিক্ষিত ইয়াং জেনারেশান ইন্ডিয়াতে থাকবে ফলে দুনিয়ার সব থেকে বড় মার্কেট ইন্ডিয়া হবে সেই সময় । ৪ । পারচেস পাওয়ার , মাথা পিছু ইনকাম প্রতিটা দিক থেকেই ইন্ডিয়া তখন দুনিয়া রুল করবে । ",1
