Data,Sentiment
অনুভূতি গুলা ভাষায়  পরকাশ  করার মত নাএতো ভালো কমেডি ছিলো অনেক হাঁস  আজ অনেক অনেক  ধনযবাদ সকল মেমবারদে,1
ভাল হয়নি,0
এক কাহিনী আর কত বড় রোগ ধরা পড়লে সেটা সরাসরি না বলে একটিং করা ফালতু নাটক আর নিশো কি তিশাকে বিয়ে করে ফেলসে আর কোন নায়িকা নাই জগতে,0
বাবা মায়ের সাথে এভাবে উচচসবরে কথা বলাটা উচিত হয় নি,0
ইউটিউবে ভিউ বাড়ানোর লকষযে নাটকের নামে দুদু সোনা যুকত করা দেখে খুব সসতা লাগলো সকরিপটের সে কি দশা,0
ভাল লাগল নাটক টা দেখে,1
ভুয়া নাটকগুলা যে বানানঅলপ ইকটু বাসতব হলেও তো চলেদিয়েছে  আবার বলে সকুল থেকে নিয়ে এসেছে,0
নাটকটা সতযি ভাল লাগছে,1
ভাই টেলিফিলম খুব সুনদর হযছে,1
কুততার বাচচারা একটা নাটকে কয়টা এড দিছসখানকির পোলা নাটক না দেখায়া এডই দেখাচুতমারানির গুষটিমেজাজটাই খারাপ কইরা দিছে,0
অসাধারণ বলার ভাষা নাইমন ছুঁয়ে গেল ভাই,1
খুব সুনদর একটা গলপকাজল আরফিন অমি কে ধনযবাদ,1
সাজজাদ ভাই ও তিশা কে ধনযবাদ অসাধারণ অভিনয়ের জনয,1
অসাধারণ লাগলো চোখে জবল এসে গেলো ভালোবাসার জয় হোক ,1
এই ধরনের নাটক তাহসান ভাইয়ের কাছ থেকে আশা করা যায় না খুবই বাজে একটা বিষয় তুলে ধরা হয়েছে,0
নায়িকা এত পাকনা কেন,0
খুব সুনদর একটি উপহার  ধনযবাদ আরিয়ান ভাই  নিশো এবং মেহেজাবীন কে,1
অসাধারন নাটক,1
অনেক ভাল লাগল,1
সালাম ডিরেকটরকে  এত সুনদর নাটক উপহার দেয়ার জনযে নাটক থেকে অনেক কিছু শেখার আছে নাটক টা এতটা বাসতব নিয়ে যেন আমাদের জীবনটা এক দিন এভাবেই শেষ হয়ে যাবে  তাই সকলের উচিৎ পরকালের কথা ভাবা,1
অাসলে ই অসাধারণ হযাপি ফযামেলি হোম সারভিস জনগন অনেক কেঁদেছে,1
ভাললাগছে,1
আর ভালো লাগেনা সব কিছুর একটা লিমিটেশন থাকে মোশাররফ করিমের অভিনয় এখন ভাড়ামি লাগে ফালতু নাটক,0
ছি নিশো ভাই,0
অনেক অনেক সুনদর  লাইছে,1
অনেক অনেক মজা পাইছি ভাই,1
সালা গাঁজাখোর পরিচালক,0
এক কথায় অসাধারণ,1
ভাই সব নাটকের কাহিনীই তোহ এক কাহিনী কি,0
আরফান নিশু ভাইয়ার নাটক দেখতে ভালো লাগতকিনতু তিনি করমানবয়ে অশলীলতায় নিজেকে হারিয়ে ফেলছেন,0
সতযি অসাধারণ,1
খুব ভালো লাগছে,1
ভালো লাগার মত আর ও একটি নাটক ,1
টাইটেলে সাইনস বানান টাই ভুল  হবে,0
বৃনদাবন মানেই অসাধারণ কিছুএকদম বাসতব চিতর ফুটে উঠে তার নাটকে,1
এমন নাটক আজ সমাজের মাঝে বরেকাপ আবিজাবি কথা বলে ছেলেমেয়ে মা বাবার অবাদয হয়ে নানান অপকরম করছে,0
সেরা ছিলো,1
ফালতু নাটক,0
আ খ ম হাসান এগিয়ে যানদরশকদের অকৃতরিম ভালবাসায়,1
আপুরব বস তোমার নাটক গুলো অসাধারণ হয়আর তানজিম তিশা আপু আমার করাশ কিউট আপু,1
বাজে নাটক,0
আমার কাছে খুব ভাল লেগেছে আপনাদোর কাছে কেমন লাগল,1
মিজানুর রহমার আরিয়ানের পরতিটা নাটক মুগধ করার মত,1
